,paragraph_number,paragraph
1137,1138,"Support Vector Machines ple scaling of the data can make it separable with an arbitrarily large margin. It follows that in order to give a meaningful deﬁnition of margin we must take into account the scale of the examples as well. One way to formalize this is using the deﬁnition that follows. b⋆) ≥γ and ∥x∥≤ρ. Similarly, we say that D is separable with a (γ, ρ)-margin using a homogenous halfspace if the preceding holds with a halfspace of the form separability with margin assumption using a homogenous halfspace. Then, with and analyzed the Perceptron algorithm for ﬁnding an ERM hypothesis with the number of updates the Perceptron might make on a given training set. It is the radius of examples and γ is the margin. violated for some of the examples in the training set. This can be modeled by introducing nonnegative slack variables, ξ1, . . . , ξm, and replacing each constraint minimizes the norm of w (corresponding to the margin) and the average of ξi (corresponding to the violations of the constraints). The tradeoﬀbetween the two input: (x1, y1), . . . , (xm, ym)"
1138,1139,Recall the deﬁnition of the hinge loss:
1139,1140,"Given (w, b) and a training set S, the averaged hinge loss on S is denoted by ((w, b)). Now, consider the regularized loss minimization problem: ξi = ℓhinge((w, b), (xi, yi)) for all i, and the claim follows. only for training errors but also for large norm. halfspace, where the bias term b is set to be zero, which yields the following optimization problem:"
1140,1141,Support Vector Machines a generalization bound for the regularized loss minimization framework assuming that the loss function is convex and Lipschitz. We have already shown that the hinge loss is convex so it is only left to analyze the Lipschitzness of the hinge
1141,1142,"It is easy to verify that any subgradient of f at w is of the form αx where space as a function of the norm of that halfspace, independently of the Euclidean dimension of the space over which the halfspace is deﬁned. This becomes highly signiﬁcant when we learn via embeddings into high dimensional feature spaces, as we will consider in the next chapter."
1142,1143,"The condition that X will contain vectors with a bounded norm follows from the requirement that the loss function will be Lipschitz. This is not just a technicality. As we discussed before, separation with large margin deed, without a constraint on the scale, we can always enlarge the margin by multiplying all instances by a large scalar. dimension of the instance space. Instead, the bounds depend on the norm of the examples, ρ, the norm of the halfspace B (or equivalently the margin parameter γ) and, in the nonseparable case, the bounds also depend on the minimum hinge homogenous halfspaces is d, which implies that the error of an ERM hypothesis"
1143,1144,"Consider the problem of learning to classify a short text document according to its topic, say, whether the document is about sports or not. We ﬁrst need to dimension d to be the number of words in the dictionary. Given a document, problem, the value of ρ2 will be the maximal number of distinct words in a given"
1144,1145,"A halfspace for this problem assigns weights to words. It is natural to assume that by assigning positive and negative weights to a few dozen words we will be able to determine whether a given document is about sports or not with reasonable accuracy. Therefore, for this problem, the value of B2 can be set to therefore shown a problem in which there can be an order of magnitude diﬀerence between learning a halfspace with the SVM rule and learning a halfspace using the vanilla ERM rule."
1145,1146,"Of course, it is possible to construct problems in which the SVM bound will be worse than the VC bound. When we use SVM, we in fact introduce another tive bias can signiﬁcantly decrease our estimation error, it can also enlarge the approximation error. we minimize the hinge loss. As we have shown in the previous subsection, the with respect to the hinge loss while the approximation error in VC bounds is that of the hinge loss."
1146,1147,It is not possible to derive bounds that involve the estimation error term
1147,1148,"Support Vector Machines insensitive, and therefore there is no meaning to the norm of w or its margin function that on one hand it is scale sensitive and thus enjoys the estimation option is the ramp loss, deﬁned as penalize examples that are separated with margin. The diﬀerence between the classiﬁed but not with a signiﬁcant margin. Generalization bounds for the ramp"
1148,1149,"The reason SVM relies on the hinge loss and not on the ramp loss is that the hinge loss is convex and, therefore, from the computational point of view, minimizing the hinge loss can be performed eﬃciently. In contrast, the problem of minimizing the ramp loss is computationally intractable."
1149,1150,Optimality Conditions and “Support Vectors”*
1150,1151,"The name “Support Vector Machine” stems from the fact that the solution of therefore called support vectors. To see this, we rely on Fritz John optimality where f, g1, . . . , gm are diﬀerentiable. Then, there exists α ∈Rm such that"
1151,1152,"Historically, many of the properties of SVM have been obtained by considering"
1152,1153,We start by rewriting the problem in an equivalent form as follows. Consider
1153,1154,Now suppose that we ﬂip the order of min and max in the above equation. This
1154,1155,"The preceding inequality is called weak duality. It turns out that in our case, strong duality also holds; namely, the inequality holds with equality. Therefore,"
1155,1156,"We can simplify the dual problem by noting that once α is ﬁxed, the optimization"
1156,1157,"Support Vector Machines problem with respect to w is unconstrained and the objective is diﬀerentiable; thus, at the optimum, the gradient equals zero:"
1157,1158,"This shows us that the solution must be in the linear span of the examples, a fact we will use later to derive SVM with kernels. Plugging the preceding into"
1158,1159,Rearranging yields the dual problem
1159,1160,"Note that the dual problem only involves inner products between instances and erty is important when implementing SVM with kernels, as we will discuss in"
1160,1161,"In this section we describe a very simple algorithm for solving the optimization where vj is a subgradient of the loss function at w(j) on the random example chosen at iteration j. For the hinge loss, given an example (x, y), we can choose vj"
1161,1162,"Choose i uniformly at random from [m] not assume separability of the data and allows the constraints to be violated to some extent. The sample complexity for both types of SVM is diﬀerent from the sample complexity of straightforward halfspace learning, as it does not depend on the dimension of the domain but rather on parameters such as the maximal in the next chapter, where we will discuss the embedding of the given domain into some high dimensional feature space as means for enriching our hypothesis class. Such a procedure raises computational and sample complexity problems."
1162,1163,"The latter is solved by using SVM, whereas the former can be solved by using"
1163,1164,"SVM with kernels, as we will see in the next chapter."
1164,1165,Bibliographic Remarks
1165,1166,Support Vector Machines is equivalent to the following formulation: arable with a margin γ and such that all the instances are within a ball of radius ρ. Prove that the maximal number of updates the Batch Perceptron
1166,1167,"In the previous chapter we described the SVM paradigm for learning halfspaces in high dimensional feature spaces. This enables us to enrich the expressive power of halfspaces by ﬁrst mapping the data into a high dimensional feature space, and then learning a linear predictor in that space. This is similar to the potheses. While this approach greatly extends the expressiveness of halfspace lenges. In the previous chapter we tackled the sample complexity issue using the concept of margin. In this chapter we tackle the computational complexity challenge using the method of kernels."
1167,1168,"We start the chapter by describing the idea of embedding the data into a high dimensional feature space. We then introduce the idea of kernels. A kernel is a type of a similarity measure between instances. The special property of kernel similarities is that they can be viewed as inner products in some Hilbert space tually embedded. We introduce the “kernel trick” that enables computationally sional representation of the domain instances. Kernel based learning algorithms, tools. Their success may be attributed both to being ﬂexible for accommodating domain speciﬁc prior knowledge and to having a well developed set of eﬃcient implementation algorithms."
1168,1169,Embeddings into Feature Spaces ing training set is not separable by a halfspace.
1169,1170,"To make the class of halfspaces more expressive, we can ﬁrst map the original instance space into another space (possibly of a higher dimension) and then learn a halfspace in that space. For example, consider the example mentioned previously. Instead of learning a halfspace in the original representation let us"
1170,1171,Personal use only. Not for distribution. Do not post.
1171,1172,"We use the term feature space to denote the range of ψ. After applying ψ the data can be easily explained using the halfspace h(x) = sign(⟨w, ψ(x)⟩−b),"
1172,1173,"The basic paradigm is as follows: for some feature space F, that will usually be Rn for some n (however, the range of such a mapping can be any Hilbert space, including such spaces of inﬁnite dimension, as we will show later). image sequence ˆS = (ψ(x1), y1), . . . , (ψ(xm), ym)."
1173,1174,"Note that, for every probability distribution D over X × Y, we can readily deﬁne its image probability distribution Dψ over F × Y by setting, for every over the feature space, LDψ(h) = LD(h ◦ψ), where h ◦ψ is the composition of h"
